Nacionalidades  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia  ,0  ,1  ,0  ,1  ,0  ,7  ,20  ,22  ,34  ,23  ,26  ,31  ,30  ,44  ,38  ,38  ,40  ,37  ,29  ,45  
Etiopía  ,1  ,0  ,0  ,3  ,0  ,12  ,20  ,12  ,25  ,29  ,25  ,21  ,18  ,6  ,12  ,3  ,4  ,5  ,8  ,7  
Fiji  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,7  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Filipinas  ,35  ,30  ,57  ,74  ,76  ,528  ,956  ,1213  ,1603  ,970  ,801  ,867  ,675  ,636  ,579  ,769  ,694  ,780  ,735  ,766  
Finlandia  ,7  ,5  ,5  ,4  ,6  ,61  ,82  ,73  ,78  ,66  ,87  ,104  ,76  ,63  ,86  ,97  ,98  ,123  ,127  ,89  
Francia  ,109  ,87  ,129  ,161  ,210  ,1277  ,2215  ,2254  ,2068  ,1750  ,1626  ,1656  ,1329  ,1434  ,1817  ,2176  ,2263  ,2670  ,2402  ,2636  
Gabón  ,0  ,0  ,0  ,1  ,2  ,0  ,3  ,1  ,1  ,0  ,5  ,5  ,2  ,4  ,0  ,2  ,4  ,2  ,2  ,4  
Gambia  ,5  ,3  ,6  ,7  ,6  ,17  ,34  ,98  ,152  ,70  ,54  ,49  ,48  ,59  ,48  ,49  ,37  ,43  ,45  ,66  
Georgia  ,6  ,0  ,1  ,17  ,28  ,241  ,589  ,903  ,740  ,417  ,402  ,383  ,421  ,357  ,431  ,485  ,534  ,641  ,971  ,1123  
Ghana  ,6  ,20  ,20  ,26  ,40  ,126  ,104  ,168  ,305  ,226  ,288  ,182  ,152  ,132  ,100  ,80  ,60  ,64  ,68  ,97  
Granada  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,1  ,0  ,2  
Grecia  ,2  ,1  ,2  ,12  ,16  ,81  ,141  ,146  ,134  ,98  ,91  ,132  ,147  ,147  ,150  ,182  ,195  ,192  ,228  ,239  
Guatemala  ,5  ,1  ,7  ,7  ,7  ,52  ,110  ,138  ,128  ,100  ,111  ,105  ,107  ,73  ,101  ,138  ,129  ,135  ,183  ,182  
Guinea  ,29  ,39  ,46  ,29  ,49  ,98  ,141  ,198  ,239  ,151  ,128  ,122  ,77  ,111  ,107  ,101  ,28  ,35  ,66  ,70  
Guinea Ecuatorial  ,4  ,13  ,15  ,8  ,25  ,36  ,50  ,59  ,50  ,47  ,33  ,31  ,36  ,35  ,27  ,47  ,83  ,85  ,59  ,67  
Guinea-Bissau  ,1  ,0  ,4  ,3  ,2  ,15  ,16  ,26  ,38  ,10  ,18  ,16  ,14  ,18  ,7  ,13  ,10  ,13  ,15  ,22  
Guyana  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,2  ,1  ,1  ,0  ,0  ,0  ,1  ,0  ,0  ,0  
Haití  ,0  ,2  ,0  ,2  ,0  ,3  ,17  ,4  ,15  ,10  ,4  ,2  ,4  ,2  ,3  ,9  ,8  ,6  ,9  ,11  
Honduras  ,27  ,8  ,10  ,27  ,36  ,262  ,992  ,1361  ,937  ,844  ,1065  ,1374  ,1232  ,1108  ,1379  ,1880  ,2087  ,2767  ,3684  ,4364  
Hungría  ,5  ,1  ,4  ,5  ,5  ,35  ,97  ,95  ,143  ,102  ,118  ,102  ,125  ,130  ,121  ,195  ,165  ,176  ,175  ,213  
India  ,30  ,43  ,62  ,87  ,164  ,650  ,1269  ,1883  ,2427  ,1999  ,1745  ,1456  ,1224  ,1311  ,1227  ,1371  ,1272  ,1441  ,1973  ,2282  
Indonesia  ,0  ,0  ,0  ,1  ,2  ,2  ,14  ,27  ,42  ,25  ,11  ,16  ,19  ,23  ,24  ,26  ,26  ,40  ,32  ,34  
Irán  ,3  ,6  ,4  ,8  ,5  ,15  ,34  ,41  ,45  ,44  ,95  ,92  ,150  ,102  ,109  ,121  ,187  ,401  ,278  ,370  
Iraq  ,4  ,2  ,0  ,4  ,3  ,6  ,16  ,9  ,17  ,6  ,1  ,8  ,13  ,13  ,28  ,24  ,31  ,35  ,32  ,38  
Irlanda  ,9  ,5  ,3  ,9  ,8  ,76  ,144  ,112  ,115  ,149  ,131  ,150  ,111  ,124  ,148  ,159  ,148  ,192  ,194  ,255  
Islandia  ,0  ,3  ,0  ,1  ,2  ,16  ,22  ,47  ,30  ,23  ,15  ,29  ,26  ,16  ,33  ,34  ,31  ,26  ,23  ,21  
Islas Salomón  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  
Israel  ,0  ,0  ,6  ,8  ,11  ,58  ,80  ,95  ,97  ,92  ,63  ,82  ,72  ,72  ,88  ,76  ,94  ,134  ,112  ,113  
Italia  ,125  ,157  ,323  ,448  ,558  ,2411  ,4156  ,4224  ,4333  ,3671  ,3424  ,3040  ,2827  ,2840  ,3698  ,4811  ,4973  ,6309  ,6857  ,8053  
Jamaica  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,2  ,3  ,6  ,1  ,2  ,5  ,3  ,2  ,3  ,3  ,2  ,1  ,6  
Japón  ,35  ,18  ,17  ,12  ,30  ,151  ,280  ,243  ,251  ,252  ,249  ,291  ,309  ,336  ,303  ,335  ,289  ,339  ,329  ,316  
Jordania  ,2  ,6  ,1  ,4  ,1  ,8  ,31  ,25  ,18  ,14  ,23  ,20  ,26  ,25  ,34  ,40  ,27  ,39  ,36  ,50  
Kazajstán  ,0  ,0  ,3  ,1  ,3  ,5  ,19  ,15  ,33  ,32  ,44  ,40  ,70  ,73  ,107  ,128  ,138  ,123  ,131  ,190  
Kenia  ,1  ,1  ,6  ,1  ,2  ,5  ,7  ,5  ,7  ,10  ,14  ,6  ,11  ,8  ,13  ,17  ,18  ,19  ,22  ,29  
Kirguistán  ,0  ,4  ,0  ,0  ,0  ,1  ,2  ,1  ,1  ,1  ,8  ,6  ,7  ,8  ,10  ,10  ,8  ,12  ,14  ,35  
Kuwait  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,1  ,0  ,1  ,3  ,8  ,10  ,5  ,8  ,4  ,9  ,10  ,17  ,8  
Laos  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,1  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,1  ,1  ,1  
Lesotho  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,0  ,1  
Letonia  ,3  ,2  ,1  ,2  ,2  ,8  ,29  ,47  ,55  ,48  ,42  ,51  ,53  ,34  ,55  ,72  ,46  ,60  ,72  ,79  
Líbano  ,12  ,10  ,7  ,7  ,3  ,18  ,33  ,43  ,51  ,36  ,45  ,54  ,44  ,64  ,80  ,89  ,141  ,145  ,179  ,182  
Liberia  ,2  ,1  ,3  ,3  ,3  ,3  ,4  ,1  ,5  ,4  ,2  ,2  ,0  ,2  ,1  ,0  ,1  ,0  ,1  ,2  
Libia  ,1  ,1  ,0  ,0  ,6  ,2  ,8  ,5  ,1  ,3  ,3  ,10  ,12  ,16  ,35  ,51  ,31  ,24  ,28  ,35  
Liechtenstein  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,1  ,0  ,1  ,1  ,2  ,0  ,0  ,0  ,3  ,0  
Lituania  ,0  ,0  ,3  ,5  ,5  ,22  ,104  ,120  ,82  ,81  ,81  ,76  ,74  ,53  ,89  ,83  ,93  ,119  ,124  ,104  
Luxemburgo  ,0  ,0  ,0  ,1  ,0  ,0  ,2  ,9  ,7  ,2  ,4  ,6  ,5  ,3  ,3  ,4  ,10  ,15  ,14  ,21  
Macedonia  ,0  ,0  ,1  ,5  ,5  ,2  ,13  ,16  ,13  ,11  ,16  ,17  ,16  ,18  ,13  ,16  ,20  ,20  ,17  ,19  
Madagascar  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,0  ,1  ,3  ,1  ,4  ,1  ,0  ,3  ,3  ,3  ,2  ,2  ,4  
Malasia  ,2  ,0  ,0  ,1  ,1  ,4  ,6  ,10  ,6  ,13  ,5  ,13  ,12  ,7  ,10  ,13  ,22  ,19  ,30  ,24  
Malawi  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,1  ,4  
Maldivas  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,3  ,1  ,1  ,1  ,1  ,0  
Mali  ,7  ,4  ,11  ,13  ,13  ,23  ,48  ,49  ,54  ,54  ,42  ,31  ,25  ,30  ,18  ,36  ,18  ,22  ,25  ,36  
Malta  ,0  ,0  ,0  ,0  ,0  ,2  ,8  ,5  ,1  ,7  ,6  ,8  ,2  ,2  ,7  ,8  ,7  ,10  ,8  ,22  
Marruecos  ,320  ,476  ,697  ,775  ,1011  ,2278  ,2788  ,3170  ,3600  ,2630  ,2472  ,2387  ,1931  ,1726  ,1866  ,1934  ,1709  ,1931  ,2715  ,3240  
Mauricio  ,0  ,0  ,0  ,0  ,1  ,2  ,1  ,0  ,1  ,1  ,4  ,5  ,2  ,1  ,3  ,2  ,2  ,5  ,3  ,3  
Mauritania  ,2  ,3  ,15  ,5  ,6  ,26  ,51  ,51  ,130  ,40  ,48  ,36  ,35  ,19  ,12  ,29  ,17  ,11  ,10  ,12  
México  ,25  ,39  ,52  ,74  ,118  ,948  ,1307  ,1358  ,1345  ,1117  ,1123  ,1299  ,1124  ,888  ,1026  ,1119  ,1060  ,1153  ,1127  ,1246  
Moldavia  ,2  ,10  ,13  ,28  ,22  ,2  ,10  ,5  ,130  ,80  ,63  ,67  ,65  ,67  ,61  ,76  ,66  ,59  ,65  ,66  
Mónaco  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Mongolia  ,0  ,0  ,0  ,0  ,3  ,5  ,8  ,8  ,13  ,17  ,5  ,11  ,11  ,15  ,11  ,12  ,9  ,18  ,22  ,7  
Montenegro  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,25  ,11  ,6  ,8  ,8  ,6  ,10  ,4  ,10  ,10  ,9  ,10  ,10  
Mozambique  ,0  ,2  ,5  ,1  ,0  ,63  ,109  ,155  ,6  ,8  ,6  ,5  ,1  ,4  ,7  ,8  ,8  ,8  ,6  ,6  
Myanmar  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,1  ,1  ,1  ,1  ,1  ,0  ,0  ,2  ,6  ,2  ,2  
Namibia  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,2  ,0  ,2  ,0  ,1  ,0  ,5  ,3  ,3  
Nepal  ,2  ,2  ,4  ,3  ,9  ,44  ,198  ,642  ,503  ,368  ,337  ,294  ,362  ,273  ,226  ,170  ,221  ,285  ,340  ,255  
Nicaragua  ,4  ,4  ,4  ,7  ,5  ,48  ,107  ,163  ,145  ,111  ,137  ,163  ,149  ,117  ,131  ,165  ,184  ,221  ,288  ,453  
Níger  ,0  ,0  ,0  ,1  ,2  ,3  ,4  ,4  ,7  ,3  ,1  ,1  ,5  ,2  ,5  ,0  ,1  ,2  ,1  ,6  
Nigeria  ,20  ,34  ,36  ,76  ,105  ,198  ,251  ,286  ,358  ,270  ,247  ,278  ,178  ,217  ,157  ,134  ,137  ,137  ,150  ,179  
Noruega  ,1  ,3  ,1  ,2  ,4  ,39  ,80  ,74  ,56  ,50  ,51  ,63  ,65  ,73  ,85  ,84  ,72  ,75  ,87  ,101  
Nueva Zelanda  ,0  ,2  ,2  ,2  ,1  ,6  ,11  ,13  ,12  ,12  ,20  ,20  ,17  ,26  ,13  ,16  ,24  ,22  ,21  ,28  
Omán  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,2  ,2  ,1  ,8  ,1  ,0  ,2  
Países Bajos  ,25  ,23  ,24  ,39  ,42  ,245  ,462  ,443  ,448  ,327  ,396  ,442  ,326  ,374  ,378  ,491  ,508  ,561  ,559  ,562  
Pakistán  ,72  ,123  ,385  ,422  ,681  ,2682  ,3977  ,5417  ,6889  ,5404  ,8836  ,6553  ,4966  ,3630  ,3441  ,3708  ,3032  ,2967  ,3644  ,4874  
Panamá  ,0  ,0  ,4  ,6  ,9  ,55  ,87  ,118  ,87  ,106  ,88  ,87  ,86  ,81  ,69  ,92  ,143  ,149  ,148  ,156  
Paraguay  ,4  ,7  ,12  ,12  ,48  ,520  ,1462  ,1806  ,1555  ,1081  ,1097  ,950  ,666  ,604  ,599  ,609  ,801  ,763  ,765  ,941  
Perú  ,226  ,238  ,387  ,529  ,729  ,2133  ,2872  ,3437  ,4425  ,2884  ,2287  ,1974  ,1482  ,1347  ,1319  ,1416  ,1609  ,2473  ,3043  ,3962  
Polonia  ,6  ,9  ,13  ,35  ,32  ,211  ,677  ,600  ,510  ,405  ,435  ,454  ,365  ,331  ,401  ,421  ,444  ,489  ,517  ,610  
Portugal  ,27  ,39  ,33  ,72  ,74  ,390  ,837  ,1034  ,1103  ,767  ,607  ,604  ,555  ,502  ,633  ,741  ,841  ,962  ,974  ,1059  
Puerto Rico  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  
Qatar  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,3  ,9  ,5  ,4  ,4  
Reino Unido  ,46  ,55  ,59  ,76  ,83  ,612  ,907  ,873  ,827  ,866  ,827  ,939  ,866  ,873  ,1012  ,1112  ,1166  ,1459  ,1424  ,1788  
República Centroafricana  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,2  ,0  ,2  ,2  ,0  ,1  ,3  
República Checa  ,2  ,7  ,4  ,0  ,7  ,41  ,124  ,118  ,93  ,91  ,97  ,98  ,93  ,67  ,72  ,85  ,84  ,89  ,83  ,75  
República Democrática del Congo  ,3  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  
